School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year,NCAABirth,END,Seed
Morgan State ,35,23,12,0.657,-2.29,-6.53,2333,2182,,,0.33,0.262,0.493,52.4,45.9,,6.5,0.463,16.1,,0.214,2009,NCAA,Morgan State ,15
North Carolina ,38,34,4,0.895,25.46,8.35,3413,2735,,,0.392,0.272,0.573,54.1,56.8,,8.9,0.533,13.7,,0.295,2009,NCAA,North Carolina ,1
North Dakota State ,33,26,7,0.788,6.18,-2.72,2659,2279,,,0.374,0.299,0.583,53.1,51.5,,6.3,0.549,14,,0.276,2009,NCAA,North Dakota State ,14
Northern Iowa ,34,23,11,0.676,5.63,2.24,2290,2158,,,0.424,0.371,0.563,52.4,54.6,,5.3,0.517,16.3,,0.32,2009,NCAA,Northern Iowa ,12
Ohio State ,33,22,11,0.667,12.48,8.23,2206,2046,,,0.383,0.356,0.577,48.9,56.6,,11.2,0.548,18.7,,0.268,2009,NCAA,Ohio State ,8
Oklahoma State ,35,23,12,0.657,13.78,7.44,2830,2608,,,0.394,0.413,0.579,48.9,47,,4.6,0.54,15,,0.295,2009,NCAA,Oklahoma State ,8
Oklahoma ,36,30,6,0.833,18.07,6.88,2833,2430,,,0.465,0.345,0.581,53.9,53.1,,8.1,0.552,17,,0.314,2009,NCAA,Oklahoma ,2
Pittsburgh ,36,31,5,0.861,21.21,8.61,2787,2320,,,0.328,0.294,0.555,56.6,60.9,,7.7,0.53,14.8,,0.222,2009,NCAA,Pittsburgh ,1
Portland State ,33,23,10,0.697,1.14,-3.16,2417,2262,,,0.293,0.44,0.559,50.3,58.4,,5.7,0.537,17.3,,0.199,2009,NCAA,Portland State ,13
Purdue ,37,27,10,0.73,16.44,7.17,2555,2212,,,0.332,0.34,0.533,49.6,60.4,,9.7,0.5,15.1,,0.233,2009,NCAA,Purdue ,5
Radford ,33,21,12,0.636,-4.55,-4.37,2491,2372,,,0.43,0.242,0.539,54.2,52.7,,8.5,0.504,18.9,,0.292,2009,NCAA,Radford ,16
Robert Morris ,35,24,11,0.686,-0.7,-5.23,2467,2288,,,0.367,0.308,0.565,50.8,60.9,,7.5,0.534,19.5,,0.259,2009,NCAA,Robert Morris ,15
Siena ,35,27,8,0.771,8.05,0.99,2709,2462,,,0.357,0.259,0.537,49.7,53,,8.3,0.51,15.5,,0.237,2009,NCAA,Siena ,9
Southern California ,35,22,13,0.629,14.09,9.15,2397,2224,,,0.422,0.215,0.542,53.9,50.2,,9.7,0.508,18,,0.284,2009,NCAA,Southern California ,10
Stephen F. Austin ,32,24,8,0.75,1.1,-3.21,2099,1795,,,0.3,0.313,0.512,50.5,53.6,,6.6,0.487,15.8,,0.195,2009,NCAA,Stephen F. Austin ,14
Syracuse ,38,28,10,0.737,17.24,9.48,3046,2725,,,0.388,0.326,0.565,51.7,61.9,,8.8,0.544,17.8,,0.25,2009,NCAA,Syracuse ,3
Temple ,34,22,12,0.647,9.05,3.9,2333,2158,,,0.287,0.368,0.538,52.2,62.3,,8.3,0.511,16.4,,0.201,2009,NCAA,Temple ,11
Tennessee ,34,21,13,0.618,13.6,7.71,2665,2465,,,0.367,0.346,0.539,53,57.9,,7.3,0.509,15.5,,0.248,2009,NCAA,Tennessee ,9
Texas A&M ,34,24,10,0.706,10.52,6.13,2440,2281,,,0.468,0.306,0.545,53.6,51.9,,7.8,0.504,16.2,,0.324,2009,NCAA,Texas A&M ,9
Texas ,35,23,12,0.657,14.83,8.09,2532,2296,,,0.386,0.274,0.519,53.4,48.9,,10.6,0.485,15.3,,0.258,2009,NCAA,Texas ,7
UCLA ,35,26,9,0.743,18.64,7.19,2642,2241,,,0.312,0.332,0.583,52.6,55.9,,6.8,0.557,16.3,,0.226,2009,NCAA,UCLA ,6
Utah State ,35,30,5,0.857,9.33,0.07,2534,2169,,,0.383,0.311,0.591,55.4,63,,5.3,0.557,15.5,,0.284,2009,NCAA,Utah State ,11
Utah ,34,24,10,0.706,12.59,5.72,2421,2195,,,0.401,0.379,0.589,53.7,55.9,,9.8,0.544,18.6,,0.313,2009,NCAA,Utah ,5
Villanova ,38,30,8,0.789,17.45,8.72,2919,2560,,,0.419,0.32,0.555,53.5,55.7,,7,0.508,16.1,,0.316,2009,NCAA,Villanova ,3
Virginia Commonwealth ,34,24,10,0.706,7.7,-0.65,2440,2156,,,0.367,0.32,0.553,49.5,54.2,,9.4,0.52,16.3,,0.259,2009,NCAA,Virginia Commonwealth ,11
Wake Forest ,31,24,7,0.774,15.63,7.36,2510,2193,,,0.435,0.213,0.563,53.9,44.7,,10.2,0.524,18.1,,0.309,2009,NCAA,Wake Forest ,4
Washington ,35,26,9,0.743,16.78,8.19,2750,2431,,,0.435,0.203,0.534,55.5,46.9,,5,0.492,16.7,,0.304,2009,NCAA,Washington ,4
West Virginia ,35,23,12,0.657,18.57,8.34,2521,2163,,,0.359,0.34,0.521,54.1,59.8,,9.6,0.485,14.8,,0.251,2009,NCAA,West Virginia ,6
Western Kentucky ,34,25,9,0.735,3.68,-1.23,2454,2278,,,0.335,0.37,0.549,53.4,52.1,,6.6,0.52,16.8,,0.231,2009,NCAA,Western Kentucky ,12
Wisconsin ,33,20,13,0.606,12.43,8.43,2106,1948,,,0.346,0.351,0.536,52,53.5,,6,0.499,14.4,,0.251,2009,NCAA,Wisconsin ,12
Xavier ,35,27,8,0.771,14.45,4.65,2508,2165,,,0.461,0.329,0.557,55.9,54.8,,10,0.524,18.5,,0.311,2009,NCAA,Xavier ,4
Arkansas-Pine Bluff ,34,18,16,0.529,-8.29,-7.68,2166,2187,67.4,93.1,0.484,0.262,0.495,54.2,58.1,9.8,10.2,0.447,20.6,35.6,0.323,2010,NCAA,Arkansas-Pine Bluff ,16
Baylor ,36,28,8,0.778,17.97,8.03,2771,2362,67.2,113.8,0.358,0.325,0.58,54.4,51.2,9.7,17.4,0.549,17.1,38.5,0.26,2010,NCAA,Baylor ,3
Brigham Young ,36,30,6,0.833,18.82,3,2992,2392,71,116.1,0.388,0.33,0.596,53,55.3,11.9,9.1,0.552,14.2,31.2,0.307,2010,NCAA,Brigham Young ,7
Butler ,38,33,5,0.868,14.37,5.08,2611,2258,64.1,106.8,0.469,0.398,0.559,52.1,54.9,10.9,6.5,0.51,16.3,30.4,0.346,2010,NCAA,Butler ,5
UC-Santa Barbara ,30,20,10,0.667,-0.13,-1.09,2028,1972,67.7,99.4,0.459,0.357,0.547,48.4,61.4,9.9,9.5,0.51,19.9,27.4,0.312,2010,NCAA,UC-Santa Barbara ,15
University of California ,35,24,11,0.686,17.29,8.26,2703,2387,67.9,113.4,0.354,0.3,0.571,52.5,51.8,8.3,6.3,0.533,15.1,34.7,0.268,2010,NCAA,University of California ,8
Clemson ,32,21,11,0.656,15.71,7.9,2350,2065,70.1,104.8,0.348,0.336,0.537,51.4,53.2,13.4,11.9,0.511,18,36.5,0.23,2010,NCAA,Clemson ,7
Cornell ,34,29,5,0.853,8.76,-0.91,2596,2192,64.7,117.1,0.284,0.401,0.604,52.4,59.5,11,10.2,0.568,16.1,33,0.207,2010,NCAA,Cornell ,12
Duke ,40,35,5,0.875,25.21,9.21,3079,2441,66.5,115.7,0.379,0.329,0.549,54.4,52.9,10,9.8,0.505,13.3,40.3,0.287,2010,NCAA,Duke ,1
East Tennessee State ,35,20,15,0.571,-0.83,-1.47,2424,2362,69.4,99.5,0.412,0.291,0.512,50.5,44.7,12,9.9,0.477,18,35,0.271,2010,NCAA,East Tennessee State ,16
Florida State ,32,22,10,0.688,14.64,6.79,2183,1932,67.6,100.6,0.386,0.321,0.532,53.7,57,12.3,17.7,0.505,20.5,38.1,0.249,2010,NCAA,Florida State ,9
Florida ,34,21,13,0.618,11.89,7.16,2455,2258,66.5,107.4,0.334,0.323,0.528,52,53.8,10.6,7.2,0.494,15.4,37,0.235,2010,NCAA,Florida ,10
Georgetown ,34,23,11,0.676,17.03,9.56,2500,2246,66.6,110.4,0.37,0.302,0.586,51.8,57.9,10.5,12.9,0.557,18.1,33.1,0.263,2010,NCAA,Georgetown ,3
Georgia Tech ,36,23,13,0.639,14.11,9.02,2621,2365,70.4,103.1,0.377,0.284,0.538,53.2,53.6,11.3,13.9,0.511,19.1,37.4,0.248,2010,NCAA,Georgia Tech ,10
Gonzaga ,34,27,7,0.794,12.11,3.83,2614,2291,69.4,109.6,0.494,0.278,0.57,53.1,50,9.5,10.5,0.54,16.2,32.1,0.328,2010,NCAA,Gonzaga ,8
Houston ,35,19,16,0.543,6.74,3.48,2751,2624,71.4,109.3,0.337,0.357,0.52,44.5,45.4,13.1,7.2,0.483,10.6,30.3,0.239,2010,NCAA,Houston ,13
Kansas State ,37,29,8,0.784,19.88,10.28,2949,2584,71.2,110.5,0.503,0.322,0.545,52.9,55.1,10.3,13.2,0.508,16.4,40.4,0.336,2010,NCAA,Kansas State ,2
Kansas ,36,33,3,0.917,24.68,8.25,2937,2312,69.4,116.8,0.413,0.307,0.582,54.6,59,12,16,0.551,15.7,38.4,0.288,2010,NCAA,Kansas ,1
Kentucky ,38,35,3,0.921,21.13,6.82,3012,2468,70,112.1,0.436,0.313,0.56,55.4,53.8,10.4,17.8,0.53,16.7,40.5,0.291,2010,NCAA,Kentucky ,1
Lehigh ,33,22,11,0.667,-3.33,-7.79,2478,2331,70,106.5,0.431,0.297,0.555,50.9,58.8,8.7,6.7,0.514,16.1,29.8,0.31,2010,NCAA,Lehigh ,16
Louisville ,33,20,13,0.606,14.08,7.99,2505,2304,67.9,110.6,0.357,0.396,0.546,51.3,58.3,11.4,10.9,0.514,16.5,39.8,0.251,2010,NCAA,Louisville ,9
Marquette ,34,22,12,0.647,15.17,8.23,2485,2198,64.4,111.9,0.349,0.351,0.564,49,59.9,12.1,5.5,0.528,13.8,31.2,0.259,2010,NCAA,Marquette ,6
Maryland ,33,24,9,0.727,17.75,7.95,2629,2254,70.2,112.2,0.336,0.249,0.552,50.4,56.4,10.9,11,0.518,13.9,35.6,0.245,2010,NCAA,Maryland ,4
Michigan State ,37,28,9,0.757,15.33,8.17,2658,2361,65.9,108.7,0.369,0.263,0.547,56.3,62.2,9.9,9.5,0.516,17.5,39.8,0.253,2010,NCAA,Michigan State ,5
Minnesota ,35,21,14,0.6,15.64,7.32,2533,2242,65.7,109,0.339,0.317,0.56,51.2,63.9,11.7,16.4,0.531,15.9,32.9,0.238,2010,NCAA,Minnesota ,11
Missouri ,34,23,11,0.676,17.39,6.36,2627,2252,71,108,0.339,0.333,0.538,48,56.4,15.3,12.3,0.501,15,34.7,0.246,2010,NCAA,Missouri ,10
Montana ,32,22,10,0.688,3.93,-2.35,2228,1960,63.4,109.8,0.369,0.322,0.579,52.2,50.1,10.2,9.2,0.548,16.9,30.6,0.267,2010,NCAA,Montana ,14
Morgan State ,37,27,10,0.73,-1.18,-6.15,2813,2606,70,107.2,0.439,0.276,0.52,52.4,48,9.3,9.6,0.475,15.6,39.7,0.307,2010,NCAA,Morgan State ,15
Murray State ,36,31,5,0.861,8.69,-3.89,2753,2175,68,112.4,0.419,0.305,0.586,54.7,56.9,14.2,14.2,0.556,18.3,39.7,0.291,2010,NCAA,Murray State ,13
Nevada-Las Vegas ,34,25,9,0.735,12.57,4.82,2485,2168,67.4,107.7,0.327,0.356,0.552,49.5,61.3,11.5,10.2,0.52,14.9,29.3,0.234,2010,NCAA,Nevada-Las Vegas ,8
New Mexico State ,34,22,12,0.647,2.06,1.66,2662,2639,72.1,108.6,0.384,0.388,0.564,48.6,52.7,8.3,8,0.532,15.6,29.9,0.269,2010,NCAA,New Mexico State ,12
New Mexico ,35,30,5,0.857,12.49,3.84,2655,2352,67.7,111.3,0.449,0.365,0.541,53.6,56,9.7,10.4,0.506,13.6,35.4,0.301,2010,NCAA,New Mexico ,3
North Texas ,33,24,9,0.727,-2.49,-4.72,2437,2303,68.8,105.7,0.527,0.308,0.558,52.7,49.4,6.2,6.6,0.508,18.2,33.3,0.379,2010,NCAA,North Texas ,15
Northern Iowa ,35,30,5,0.857,12.03,4.27,2216,1929,59.4,106.6,0.37,0.379,0.541,52,49.1,9.5,6.4,0.496,15.4,30.7,0.281,2010,NCAA,Northern Iowa ,9
Notre Dame ,35,23,12,0.657,13.14,6.22,2635,2393,64,116.4,0.381,0.345,0.571,52.6,63.7,8.6,7.8,0.537,13.6,34.7,0.275,2010,NCAA,Notre Dame ,6
Oakland ,35,26,9,0.743,-0.64,-2.96,2676,2504,70.5,108.4,0.427,0.312,0.542,53.4,50.1,9.6,11.2,0.498,16.4,37.6,0.307,2010,NCAA,Oakland ,14
Ohio State ,37,29,8,0.784,19.49,7.37,2740,2274,65.1,113,0.358,0.354,0.586,51.2,55.4,10.8,12.2,0.561,15,28.9,0.249,2010,NCAA,Ohio State ,2
Ohio ,37,22,15,0.595,4.56,-0.03,2763,2569,69.2,105.7,0.41,0.353,0.537,49.5,56.6,10.6,6.7,0.494,15.5,32.4,0.295,2010,NCAA,Ohio ,14
Oklahoma State ,33,22,11,0.667,12.34,6.97,2437,2243,68.6,107.2,0.365,0.421,0.558,51,49.2,9.4,7,0.524,16.1,29.1,0.261,2010,NCAA,Oklahoma State ,7
Old Dominion ,36,27,9,0.75,11.39,1.78,2415,2069,62.9,106.2,0.303,0.254,0.512,55.8,60.1,12.4,8.6,0.488,16.2,42.4,0.197,2010,NCAA,Old Dominion ,11
Pittsburgh ,34,25,9,0.735,14.3,7.39,2336,2101,62.6,107.5,0.428,0.29,0.536,53.6,66.3,8.1,10.4,0.497,16.2,37,0.297,2010,NCAA,Pittsburgh ,3
Purdue ,35,29,6,0.829,17.52,8.81,2467,2144,66.7,105.3,0.386,0.3,0.533,48.9,56.9,10.6,12.2,0.491,14.1,29.4,0.279,2010,NCAA,Purdue ,4
Richmond ,35,26,9,0.743,10.03,3.43,2427,2196,65,104.5,0.324,0.362,0.541,46.2,50.9,12.4,11.9,0.511,14.6,26,0.227,2010,NCAA,Richmond ,7
Robert Morris ,35,23,12,0.657,-3.71,-6.15,2399,2306,67.6,101,0.46,0.292,0.527,51.1,53.1,11.2,7.2,0.489,18.6,34.6,0.306,2010,NCAA,Robert Morris ,15
Saint Mary's (CA) ,34,28,6,0.824,13.38,2.2,2668,2258,67,116.7,0.334,0.358,0.59,53.2,57.5,7.3,11.4,0.557,14.8,34.4,0.254,2010,NCAA,Saint Mary's (CA) ,10
Sam Houston State ,33,25,8,0.758,3.71,-3.37,2616,2284,70.6,111.5,0.37,0.395,0.567,53,74,11,7,0.536,16.1,34.9,0.26,2010,NCAA,Sam Houston State ,14
San Diego State ,34,25,9,0.735,11.34,4.21,2389,2101,63.9,108.8,0.401,0.306,0.543,54.8,52.3,11.4,13,0.522,17.1,40.2,0.249,2010,NCAA,San Diego State ,11
Siena ,34,27,7,0.794,8.48,-1.17,2554,2226,70,106.6,0.387,0.243,0.527,52.9,52.3,12.4,8.5,0.493,14.7,35.5,0.261,2010,NCAA,Siena ,13
Syracuse ,35,30,5,0.857,21.72,7.21,2832,2324,71,114,0.369,0.309,0.596,53,64.6,13.5,17.2,0.576,18.3,37.1,0.249,2010,NCAA,Syracuse ,1
Temple ,35,29,6,0.829,12.44,4.27,2273,1987,61.9,104.2,0.274,0.312,0.518,52.8,60.5,7.5,8.1,0.491,14,32.1,0.189,2010,NCAA,Temple ,5
Tennessee ,37,28,9,0.757,16.05,7.75,2720,2413,69.8,105.1,0.356,0.313,0.535,50.8,53.5,11.2,10.8,0.506,16.2,33.5,0.239,2010,NCAA,Tennessee ,6
Texas A&M ,34,24,10,0.706,15.24,9.8,2426,2192,66.7,106.2,0.483,0.339,0.534,51.9,51.3,9.8,9.1,0.497,15.5,33.3,0.32,2010,NCAA,Texas A&M ,5
Texas-El Paso ,33,26,7,0.788,12.66,1.96,2484,2131,69.8,106.6,0.396,0.312,0.556,50.5,54.8,12.4,10.2,0.528,16.3,28.9,0.267,2010,NCAA,Texas-El Paso ,12
Texas ,34,24,10,0.706,18.56,7.38,2761,2381,73.6,109.2,0.407,0.262,0.536,53.8,48.7,10.6,13,0.511,15.3,38.9,0.258,2010,NCAA,Texas ,8
Utah State ,35,27,8,0.771,13.62,1.23,2559,2097,62.5,116.5,0.298,0.303,0.581,54.6,62.1,7.4,9.8,0.551,14,33.8,0.226,2010,NCAA,Utah State ,12
Vanderbilt ,33,24,9,0.727,15.24,7.86,2537,2274,69.9,109.6,0.467,0.302,0.568,50.3,50.8,8.1,12.5,0.525,16.7,33.1,0.337,2010,NCAA,Vanderbilt ,4
Vermont ,35,25,10,0.714,-1.26,-6.69,2457,2267,67.5,103.6,0.494,0.278,0.528,51.9,51.2,10.1,10.2,0.482,17.3,36.3,0.339,2010,NCAA,Vermont ,16
Villanova ,33,25,8,0.758,16.72,7.75,2700,2404,71.9,112.9,0.439,0.345,0.569,53.2,49.8,10.8,11.7,0.522,16,37.7,0.331,2010,NCAA,Villanova ,2
Wake Forest ,31,20,11,0.645,11.45,8.85,2257,2155,70.4,100.9,0.408,0.233,0.506,53,45.5,9.9,12.7,0.47,17.4,38.8,0.268,2010,NCAA,Wake Forest ,9
Washington ,36,26,10,0.722,15.64,7.49,2851,2519,72.8,108.5,0.409,0.257,0.54,52.5,51.3,10,10.2,0.497,14.8,36.9,0.295,2010,NCAA,Washington ,11
West Virginia ,38,31,7,0.816,19.16,10.26,2752,2414,64,111.4,0.396,0.348,0.529,54.5,62.5,8.6,11.4,0.489,14.8,42,0.279,2010,NCAA,West Virginia ,2
Winthrop ,33,19,14,0.576,-8.68,-7.31,2042,2025,66.7,92,0.36,0.259,0.451,51,47.1,12.8,11.8,0.412,15.1,34.1,0.232,2010,NCAA,Winthrop ,16
Wisconsin ,33,24,9,0.727,17.84,7.66,2214,1878,59.8,111.3,0.325,0.394,0.548,51.3,53.1,9.4,9.5,0.514,12.5,30.2,0.238,2010,NCAA,Wisconsin ,4
Wofford ,35,26,9,0.743,4.43,-2.57,2408,2134,65.1,105.4,0.443,0.31,0.531,52.2,56.8,10.6,5.8,0.495,15.5,33.6,0.296,2010,NCAA,Wofford ,13
Xavier ,35,26,9,0.743,16.23,5.94,2793,2433,69.7,111,0.419,0.319,0.559,53.5,51.4,9.3,8.9,0.522,15.3,35.2,0.298,2010,NCAA,Xavier ,6
Akron ,36,23,13,0.639,2.15,-1.02,2524,2365,67,102.9,0.313,0.379,0.53,47.9,58.3,9.8,9.2,0.499,15.4,28.3,0.22,2011,NCAA,Akron ,15
Alabama-Birmingham ,31,22,9,0.71,8.55,2.78,2119,1940,63.1,105.7,0.297,0.405,0.538,51.7,55.6,8.2,8.2,0.508,16.4,33.4,0.213,2011,NCAA,Alabama-Birmingham ,12
Alabama State ,35,17,18,0.486,-13.37,-10.31,2146,2234,66.5,91.5,0.473,0.317,0.476,50.7,55.5,10.9,13.1,0.44,19.6,35.7,0.285,2011,NCAA,Alabama State ,16
Arizona ,38,30,8,0.789,16.54,7.99,2905,2580,66.9,112.8,0.436,0.361,0.583,53.1,55.3,7.7,6.5,0.541,16.3,34,0.325,2011,NCAA,Arizona ,5
Little Rock ,36,19,17,0.528,-4.32,-2.97,2457,2426,65.4,103.3,0.423,0.317,0.528,48.9,52.5,8.9,7.4,0.488,15.5,29.9,0.292,2011,NCAA,Little Rock ,16
Belmont ,35,30,5,0.857,13.07,-4.42,2790,2178,69.2,114.3,0.382,0.422,0.577,52.5,60.9,13.9,9.7,0.542,16.6,37.4,0.281,2011,NCAA,Belmont ,13
Boston University ,35,21,14,0.6,-2.48,-3.85,2270,2222,62.7,103,0.373,0.401,0.517,50.2,46.1,8.6,10.5,0.473,16,34,0.272,2011,NCAA,Boston University ,16
Brigham Young ,37,32,5,0.865,18.65,5.76,3012,2512,71.1,113.4,0.382,0.382,0.562,51.9,52.8,11.2,9.9,0.518,13.1,31.2,0.292,2011,NCAA,Brigham Young ,3
Bucknell ,34,25,9,0.735,2.39,-3.87,2387,2174,66.1,105.9,0.341,0.315,0.554,49.7,59.4,7.1,8.9,0.509,15,25.2,0.269,2011,NCAA,Bucknell ,14
Butler ,38,28,10,0.737,11.53,5.02,2707,2437,64.5,109,0.377,0.387,0.541,52.3,49.2,9.1,4.7,0.501,14.3,33.2,0.273,2011,NCAA,Butler ,8
UC-Santa Barbara ,32,18,14,0.563,1.22,0.12,2170,2105,65.2,102.9,0.373,0.373,0.563,49.6,61.6,11,12.2,0.523,19.1,28.4,0.281,2011,NCAA,UC-Santa Barbara ,15
Cincinnati ,35,26,9,0.743,15.41,6.1,2412,2086,63.6,107.9,0.383,0.336,0.526,53.2,58.6,11.5,10.2,0.494,14.9,38.1,0.256,2011,NCAA,Cincinnati ,6
Clemson ,34,22,12,0.647,13.76,6.58,2330,2086,65.1,104.5,0.385,0.345,0.539,51.2,54.9,12.2,13.2,0.503,17.2,34.2,0.27,2011,NCAA,Clemson ,12
Connecticut ,41,32,9,0.78,17.95,10.44,2967,2659,65.1,109.2,0.338,0.293,0.526,52.9,50.7,9.5,13.6,0.482,14.2,38.7,0.258,2011,NCAA,Connecticut ,3
Duke ,37,32,5,0.865,24.51,8.32,2993,2394,70.2,115.2,0.374,0.353,0.576,51.9,50.9,10.4,9.7,0.537,14.7,35.1,0.282,2011,NCAA,Duke ,1
Florida State ,34,23,11,0.676,13.48,6.45,2348,2109,69.3,99.3,0.381,0.333,0.522,53.3,51.1,12.2,17.5,0.49,19.4,35.6,0.253,2011,NCAA,Florida State ,10
Florida ,37,29,8,0.784,16.27,7.57,2667,2345,63.9,110.3,0.357,0.317,0.547,54,53.8,9.1,9.5,0.521,15.6,37.2,0.239,2011,NCAA,Florida ,2
George Mason ,34,27,7,0.794,11.66,1.37,2474,2124,64.3,111.9,0.386,0.308,0.562,51.5,55.1,10.1,8.9,0.532,14.6,32.9,0.266,2011,NCAA,George Mason ,8
Georgetown ,32,21,11,0.656,14.61,10.39,2258,2123,64.8,108.5,0.334,0.371,0.572,52,59.5,9.3,11.2,0.541,18,33.7,0.245,2011,NCAA,Georgetown ,6
Georgia ,33,21,12,0.636,10.43,6.13,2267,2125,64.6,104,0.366,0.25,0.53,53.4,60.1,9.7,12.8,0.495,17.2,36.8,0.255,2011,NCAA,Georgia ,10
Gonzaga ,35,25,10,0.714,13.86,4.01,2684,2307,68.4,111.3,0.416,0.281,0.576,54.8,58.2,10.5,10.5,0.531,16.9,35.4,0.317,2011,NCAA,Gonzaga ,11
Hampton ,33,24,9,0.727,-5.2,-8.77,2197,2070,67.3,97.5,0.412,0.357,0.499,47,51.9,10.7,14.2,0.463,15.8,29.7,0.267,2011,NCAA,Hampton ,16
Illinois ,34,20,14,0.588,16.72,11.11,2413,2222,66.2,106.8,0.282,0.314,0.557,51.2,63.5,8.3,12.1,0.529,16.7,31.7,0.206,2011,NCAA,Illinois ,9
Indiana State ,34,20,14,0.588,3.41,2.9,2253,2192,64.8,100.8,0.377,0.362,0.533,50.8,56,9.5,12.4,0.494,18.4,30.9,0.268,2011,NCAA,Indiana State ,14
Kansas State ,34,23,11,0.676,14.59,8.41,2477,2249,68.8,105.9,0.427,0.325,0.531,54.7,55.8,8.9,12.1,0.499,17.6,40.9,0.28,2011,NCAA,Kansas State ,5
Kansas ,38,35,3,0.921,24.1,7.62,3084,2458,69.7,116,0.393,0.324,0.593,55.7,60.5,11.1,10.7,0.57,16.3,36.7,0.267,2011,NCAA,Kansas ,1
Kentucky ,38,29,9,0.763,20.3,8.91,2845,2412,66.2,112.8,0.361,0.324,0.556,52.5,48.1,8.4,15.5,0.523,13.7,34.3,0.257,2011,NCAA,Kentucky ,4
Long Island University ,33,27,6,0.818,2.23,-5.77,2730,2466,75.3,108.9,0.497,0.316,0.55,52.8,54.2,9.8,7.6,0.519,16.9,37.4,0.321,2011,NCAA,Long Island University ,15
Louisville ,35,25,10,0.714,18.6,8.2,2623,2259,67.8,108.6,0.299,0.407,0.548,50.1,64.1,13.5,13.5,0.526,16.1,34.8,0.198,2011,NCAA,Louisville ,4
Marquette ,37,22,15,0.595,14.89,8.51,2782,2546,68,110.2,0.443,0.261,0.549,51.7,59,10.5,9.5,0.51,15.2,36.1,0.308,2011,NCAA,Marquette ,11
Memphis ,35,25,10,0.714,6.91,3.14,2524,2392,69.1,103.2,0.396,0.324,0.538,50.6,57.5,12.1,13.4,0.504,18.6,35.3,0.269,2011,NCAA,Memphis ,12
Michigan State ,34,19,15,0.559,13.7,11.67,2338,2263,66,103.1,0.365,0.327,0.526,52.9,62.3,9.7,13.1,0.489,17,34.5,0.256,2011,NCAA,Michigan State ,10
Michigan ,35,21,14,0.6,14.21,10.68,2328,2187,62.1,106.3,0.266,0.426,0.547,48.6,56.7,7.7,6,0.523,14.2,25.5,0.186,2011,NCAA,Michigan ,8
Missouri ,34,23,11,0.676,14.77,6.5,2748,2435,72.5,110.3,0.339,0.312,0.552,48.6,56.8,13.2,12.5,0.515,14.8,33.9,0.25,2011,NCAA,Missouri ,11
Morehead State ,35,25,10,0.714,2.81,-3.13,2412,2162,64.3,106.2,0.401,0.321,0.541,56.9,49.8,13.2,10.2,0.509,19.1,41.6,0.27,2011,NCAA,Morehead State ,13
Nevada-Las Vegas ,33,24,9,0.727,14.67,6,2363,2077,67.3,106,0.391,0.304,0.543,51,60.5,12,10.7,0.509,16,33.1,0.27,2011,NCAA,Nevada-Las Vegas ,8
North Carolina-Asheville ,34,20,14,0.588,-0.69,-2.89,2506,2333,70.1,102.9,0.415,0.264,0.537,49.3,55.8,12.7,11.9,0.495,17.8,33.2,0.295,2011,NCAA,North Carolina-Asheville ,16
North Carolina ,37,29,8,0.784,18.87,10.15,2868,2545,72.6,106.5,0.379,0.25,0.524,54,54.9,8.6,13.3,0.492,15.3,37.1,0.255,2011,NCAA,North Carolina ,2
Northern Colorado ,32,21,11,0.656,1.39,-2.24,2287,2105,66.8,107,0.434,0.385,0.555,53.6,50.8,8.9,6.4,0.502,18.1,35.3,0.334,2011,NCAA,Northern Colorado ,15
Notre Dame ,34,27,7,0.794,18.17,8.43,2558,2227,64.3,115.3,0.451,0.386,0.575,53.2,66.8,7,9.6,0.535,14.1,33.4,0.327,2011,NCAA,Notre Dame ,2
Oakland ,35,25,10,0.714,8.28,0.1,2992,2690,72.4,117.6,0.39,0.359,0.591,53.4,54,8.5,12.2,0.559,15.7,37.2,0.281,2011,NCAA,Oakland ,13
Ohio State ,37,34,3,0.919,25.84,8.38,2854,2208,64.1,120,0.371,0.327,0.589,53.8,57.7,11.1,9.1,0.563,13.4,35.7,0.26,2011,NCAA,Ohio State ,1
Old Dominion ,34,27,7,0.794,9.03,1.76,2231,1984,60.7,108.1,0.376,0.276,0.518,58.6,60.4,11.3,13.2,0.485,16.4,45.4,0.251,2011,NCAA,Old Dominion ,9
Penn State ,34,19,15,0.559,11.98,11.45,2144,2126,59.8,105.5,0.311,0.365,0.534,51,53.8,7.4,7.4,0.501,15.1,32.2,0.225,2011,NCAA,Penn State ,10
Pittsburgh ,34,28,6,0.824,20.82,7.85,2514,2073,63.3,116.3,0.431,0.274,0.559,57.8,67.2,7.4,9,0.529,15,42.9,0.289,2011,NCAA,Pittsburgh ,1
Princeton ,32,25,7,0.781,3.71,-1.61,2215,2017,63.4,107,0.359,0.313,0.558,53.1,54.2,9.2,10.7,0.522,16.4,31.5,0.263,2011,NCAA,Princeton ,13
Purdue ,34,26,8,0.765,19.36,8.69,2466,2103,66,109.5,0.344,0.33,0.542,51.4,61.5,9.4,10.5,0.507,13.5,32.4,0.246,2011,NCAA,Purdue ,3
